,corp1.txt,corp10.txt,corp2.txt,corp3.txt,corp4.txt,corp5.txt,corp6.txt,corp7.txt,corp8.txt,corp9.txt,idf,tf.idfcorp1.txt,tf.idfcorp10.txt,tf.idfcorp2.txt,tf.idfcorp3.txt,tf.idfcorp4.txt,tf.idfcorp5.txt,tf.idfcorp6.txt,tf.idfcorp7.txt,tf.idfcorp8.txt,tf.idfcorp9.txt
ئ ي,2.0,6.0,2.0,2.0,0.0,2.0,2.0,3.0,7.0,1.0,0.04575749056067514,0.059531867745749846,0.08136373905488227,0.059531867745749846,0.059531867745749846,0.0,0.059531867745749846,0.059531867745749846,0.06758936186980757,0.08442705614947257,0.04575749056067514
ا ء,3.0,12.0,6.0,4.0,2.0,14.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا أ,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5228787452803376,0.0,0.6802809317048656,0.0,0.0,0.0,0.6802809317048656,0.0,0.0,0.0,0.5228787452803376
ا إ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا ئ,2.0,7.0,0.0,3.0,4.0,6.0,4.0,8.0,5.0,2.0,0.04575749056067514,0.059531867745749846,0.08442705614947257,0.0,0.06758936186980757,0.07330624493082455,0.08136373905488227,0.07330624493082455,0.08708062211589923,0.07774060393627559,0.059531867745749846
ا ا,3.0,7.0,1.0,3.0,5.0,12.0,7.0,7.0,0.0,1.0,0.04575749056067514,0.06758936186980757,0.08442705614947257,0.04575749056067514,0.06758936186980757,0.07774060393627559,0.095138116239957,0.08442705614947257,0.08442705614947257,0.0,0.04575749056067514
ا ب,4.0,9.0,0.0,7.0,11.0,6.0,10.0,7.0,11.0,4.0,0.04575749056067514,0.07330624493082455,0.08942123317894,0.0,0.08442705614947257,0.09340900652175876,0.08136373905488227,0.09151498112135029,0.08442705614947257,0.09340900652175876,0.07330624493082455
ا ة,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5228787452803376,0.0,0.0,0.0,0.5228787452803376,0.0,0.6802809317048656,0.0,0.0,0.5228787452803376,0.0
ا ت,4.0,55.0,6.0,9.0,23.0,64.0,17.0,5.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا ث,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.3979400086720376,0.0,0.0,0.3979400086720376,0.0,0.0,0.5177318877571058,0.3979400086720376,0.0,0.5177318877571058,0.0
ا ج,0.0,4.0,3.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.22184874961635637,0.0,0.3554150058864992,0.32769750339130055,0.0,0.22184874961635637,0.3554150058864992,0.32769750339130055,0.32769750339130055,0.0,0.0
ا ح,3.0,15.0,0.0,0.0,2.0,6.0,4.0,2.0,1.0,1.0,0.09691001300805642,0.1431478400093591,0.21088503222180396,0.0,0.0,0.126082833803668,0.1723206608049707,0.1552556545992796,0.126082833803668,0.09691001300805642,0.09691001300805642
ا خ,0.0,4.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,0.22184874961635637,0.0,0.3554150058864992,0.0,0.0,0.0,0.3769143710976413,0.22184874961635637,0.2886318777514278,0.22184874961635637,0.22184874961635637
ا د,3.0,7.0,4.0,11.0,0.0,19.0,9.0,2.0,6.0,1.0,0.04575749056067514,0.06758936186980757,0.08442705614947257,0.07330624493082455,0.09340900652175876,0.0,0.10427004638570356,0.08942123317894,0.059531867745749846,0.08136373905488227,0.04575749056067514
ا ذ,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.6989700043360189,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
